Module,Mode,EDI?,TIMESTAMP,Alert / Email,Problem Statements,Solution,SOP
EDI/API,Email,Yes,3/3/2025 17:57,"Subject: Email INC-711960 | EDI Parsing Issue on BAPLIE (translator quarantine)

Dear Team,

BAPLIE duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: CODE. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",BAPLIE duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: CODE. All numeric identifiers are randomized placeholders; no credentials stored.,"Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable.",
Vessel,Email,No,6/30/2025 15:50,"Subject: Email ALR-529694 | Vessel MV AURORA BAY/7A exception at Tuas Port

Dear Team,

ETA/ETB mismatch for MV AURORA BAY (IMO 2701004, CS-2XFTX) on voyage 7A. Berth plan shows ETB at BP02 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Tuas Port reflects older figures. Pilotage request pending; quay Q4 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","ETA/ETB mismatch for MV AURORA BAY (IMO 2701004, CS-2XFTX) on voyage 7A. Berth plan shows ETB at BP02 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Tuas Port reflects older figures. Pilotage request pending; quay Q4 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,
Vessel,SMS,No,7/5/2025 5:20,"Alert: SMS ALR-176070 | Issue: ETA/ETB mismatch for MV TITAN CREST (IMO 5355235, CS-76HQO) on voyage 211S. Berth plan shows ETB at . Please check immediately.","ETA/ETB mismatch for MV TITAN CREST (IMO 5355235, CS-76HQO) on voyage 211S. Berth plan shows ETB at BP05 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Tuas Port reflects older figures. Pilotage request pending; quay Q5 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Escalate to Vessel Product Team,
Container Booking,SMS,No,3/29/2025 23:31,Alert: SMS TCK-402620 | Issue: Discrepancy between customer portal and TOS for container OOLU4543095 on voyage VA61. Portal shows '. Please check immediately.,"Discrepancy between customer portal and TOS for container OOLU4543095 on voyage VA61. Portal shows 'Loaded @ BP01' while TOS indicates 'In Yard - Block F6'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-KV4YKADE and seal S5333-01N included (randomized placeholders). Yard crane QC07 handled the last move at PSA Tanjong Pagar.",Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage VA61); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders.,
Vessel,Call,No,4/6/2025 21:58,"Call INC-930602 | Vessel MV EASTERN STAR/19E exception at Tuas Port | Issue: ETA/ETB mismatch for MV EASTERN STAR (IMO 7245603, CS-BGF7Y) on voyage 19E. Berth plan shows ETB at BP05 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Tuas Port reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","ETA/ETB mismatch for MV EASTERN STAR (IMO 7245603, CS-BGF7Y) on voyage 19E. Berth plan shows ETB at BP05 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Tuas Port reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,
Container Booking,Email,No,9/3/2025 20:37,"Subject: Email ALR-252640 | Container OOLU0726303 exception reported at PSA Keppel

Dear Team,

Weight and size attributes for OOLU0726303 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1 slot planning at Tuas Port misallocated. Voyage RT33; last known location Block F6. Suspect duplicate CODECO from yesterday caused field overwrite.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Weight and size attributes for OOLU0726303 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1—slot planning at Tuas Port misallocated. Voyage RT33; last known location Block F6. Suspect duplicate CODECO from yesterday caused field overwrite.,Escalate to Container Product Team,
IMPORT/EXPORT,Email,No,9/10/2025 11:27,"Subject: PORTNET MOBILE ISSUE | CS0057423-INC0172792/L

Dear Team,

Dear Portnet team,

Ref to b/m driver ID 123456, driver already enter PSA Brani GATE, but unable to view container yard location via PORTNET Mobile.
Next driver ID 12345 enter PPT, but after key in Pass no page jump back to start.

Please assist to check, is it this APP only available for certain yard or gate.

Further questions:
1. What if messaging system like CTR down, how driver able to retrieve yard location in Brani terminal.
2. Had already tried uninstall and reinstall, still unable to use at PPT, pls advice.


Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Dear Portnet team,

Ref to b/m driver ID 123456, driver already enter PSA Brani GATE, but unable to view container yard location via PORTNET Mobile.
Next driver ID 12345 enter PPT, but after key in Pass no page jump back to start.

Please assist to check, is it this APP only available for certain yard or gate.

Further questions:
1. What if messaging system like CTR down, how driver able to retrieve yard location in Brani terminal.
2. Had already tried uninstall and reinstall, still unable to use at PPT, pls advice.
","From SR,
Hi @HAKIM
Do assist convey below to EK. Thank you.
1)	Portnet Mobile system has a feature to trigger ""Vehicle Arrive"" for automated yards at PPT and TUAS terminals only. This feature is not available for Brani terminal.
In cases where communication devices such as CTR are unavailable and hauliers need to identify the yard location, they may check the location with their company Controller using Pregate online under Vehicle in Terminal.
2)	PORTNET Mobile does not support triggering œVehicle Arrive for NMT batches on Android phone. We are currently revamping PORTNET Mobile and will take this into account. ",
Container Booking,SMS,No,1/12/2025 16:11,Alert: SMS TCK-219971 | Issue: Weight and size attributes for EITU2679636 do not align with manifest data. OMS lists 22G1 whereas t. Please check immediately.,Weight and size attributes for EITU2679636 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1—slot planning at PSA Pasir Panjang misallocated. Voyage YK92; last known location Block G7. Suspect duplicate CODECO from yesterday caused field overwrite.,Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage YK92); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders.,
Vessel,SMS,No,3/17/2025 21:25,"Subject: Email TCK-54787 | Vessel MV ADRIAN MAERSK/002E exception at PSA Portnet

Dear Team,

HI Team,
Similar with previous case: CS0053439-INC0159773/L where we have duplicate system Vessel Name.
Please assist to change system Vessel Name for new ADRIAN MAERSK with callsign OZUU2 to be ADRIAN MSK i/o ADRIAN MS to avoid same name with callsign 5LLT3 as showing error on below screenshot while creating new Vessel Advice.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Issue:
Similar to the previous case CS0053439-INC0159773/L, a duplicate system vessel name exists for MV ADRIAN MAERSK with callsign OZUU2.
There is a conflict between this vessel and another with callsign 5LLT3, causing an error while creating a new Vessel Advice.
The team requests to change the system vessel name to ADRIAN MSK to avoid conflicts.","Identify Duplicate Vessel Name:
Review the system or vessel management platform to confirm that the conflict exists between ADRIAN MAERSK and ADRIAN MS due to the same vessel name but different callsigns.
Check if the system flags the duplicate vessel name and lists both callsigns under similar entries.
Update Vessel Name in the System:
Change the system vessel name for ADRIAN MAERSK (OZUU2) to ADRIAN MSK directly in the vessel management interface. This can be done through the system's Vessel Details page or name edit feature if available.
Ensure that the name change reflects in all associated platforms, including Vessel Advice creation and Vessel Registration.
Verify the Fix and Resubmit Vessel Advice:
After making the name change, test the process by creating a new Vessel Advice for ADRIAN MSK.
Confirm that the error no longer occurs. If the issue persists, escalate to the technical support team for a deeper investigation.",
Vessel,Call,Yes,2/28/2025 23:40,"Call TCK-128356 | Vessel MV SUNRISE REEF/7A exception at Tuas Port | Issue: EDIFACT COPRAR inconsistency for MV SUNRISE REEF/7A: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","EDIFACT COPRAR inconsistency for MV SUNRISE REEF/7A: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable.,"VSL: EDIFACT COPRAR inconsistency for VESSEL_ID; COARRI shows discharge completed for bay BAY_NUMBER, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. "
Vessel,SMS,No,8/20/2025 17:16,"Alert: SMS INC-882396 | Issue: ETA/ETB mismatch for MV SUNRISE REEF (IMO 4640580, CS-DSG64) on voyage 7A. Berth plan shows ETB at B. Please check immediately.","ETA/ETB mismatch for MV SUNRISE REEF (IMO 4640580, CS-DSG64) on voyage 7A. Berth plan shows ETB at BP07 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Tuas Port reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,
Vessel,SMS,Yes,5/16/2025 5:28,"Alert: SMS TCK-280129 | Issue: EDIFACT COPRAR inconsistency for MV NORTHERN SKY/002E: COARRI shows discharge completed for bay 22, . Please check immediately.","EDIFACT COPRAR inconsistency for MV NORTHERN SKY/002E: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Escalate to Vessel Product Team,
Vessel,SMS,No,8/4/2025 4:37,"Alert: SMS INC-965138 | Issue: ETA/ETB mismatch for MV SUNRISE REEF (IMO 2797106, CS-IHB86) on voyage 002E. Berth plan shows ETB at. Please check immediately.","ETA/ETB mismatch for MV SUNRISE REEF (IMO 2797106, CS-IHB86) on voyage 002E. Berth plan shows ETB at BP02 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Keppel reflects older figures. Pilotage request pending; quay Q4 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,VSL: ETA/ETB mismatch for VESSEL_ID on voyage VOYAGE_ID 
Vessel,Call,Yes,3/15/2025 19:20,"Call INC-495172 | Vessel MV PACIFIC GLORY/12B exception at PSA Pasir Panjang | Issue: ANSI X12 315 inconsistency for MV PACIFIC GLORY/12B: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","ANSI X12 315 inconsistency for MV PACIFIC GLORY/12B: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable.,
EDI/API,Call,Yes,5/7/2025 16:52,"Call ALR-234426 | EDI/API Data Mismatch on HLCU9590776 at Pasir Panjang Terminal 2 | Issue: Field mapping mismatch across systems for container HLCU9590776. Partner Partner-E posted EDIFACT COPRAR with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at Pasir Panjang Terminal 2. Booking BK-5LEE473P shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. Context tokens: HIGHWAY, OGSMAASIN2500436. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","Field mapping mismatch across systems for container HLCU9590776. Partner Partner-E posted EDIFACT COPRAR with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at Pasir Panjang Terminal 2. Booking BK-5LEE473P shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. Context tokens: HIGHWAY, OGSMAASIN2500436. All numeric identifiers are randomized placeholders; no credentials stored.","Set precedence to TOS for equipment attributes; forced cache purge and re-index. Backfilled corrected attributes, then locked fields for 6h to prevent drift. Added rule to reject backdated EDI updates if newer move exists within 120 minutes. Communications used masked ticket references where applicable.",
Vessel,Email,No,6/22/2025 12:28,"Subject: Email INC-647740 | Vessel MV SEA HORIZON/105N exception at Tuas Port

Dear Team,

Schedule API intermittently returns 502 for MV SEA HORIZON/105N; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Tuas Port. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Schedule API intermittently returns 502 for MV SEA HORIZON/105N; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Tuas Port. All numeric identifiers are randomized placeholders; no credentials stored.,"Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable.",
Container Report,Call,No,4/30/2025 19:08,Call TCK-584838 | Container HLCU0505551 exception reported at PSA Pasir Panjang | Issue: Auth token rejection for HLCU0505551 on '/bookings/search'. Node clock skew surfacing as intermittent 401/403; partial data for ~18 minutes prior to mitigation.. Please investigate and resolve urgently. Contact the relevant team if needed.,Auth token rejection for HLCU0505551 on '/bookings/search'. Node clock skew surfacing as intermittent 401/403; partial data for ~18 minutes prior to mitigation.,Rolled back gateway buffering; enabled keep-alive upstream. Raised SLI alerts for error-rate/latency with auto-page. Coordinated cipher suite update with partner.,CNTR: Auth token rejection for CONTAINER_ID on '/bookings/search' 
Container Booking,Call,No,3/2/2025 4:08,"Call TCK-206694 | Container EMCU3381866 exception reported at PSA Pasir Panjang | Issue: Discrepancy between customer portal and TOS for container EMCU3381866 on voyage HB54. Portal shows 'Loaded @ BP03' while TOS indicates 'In Yard - Block C4'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-U8IOGXPB and seal S4232-QPA included (randomized placeholders). Yard crane YC22 handled the last move at PSA Tanjong Pagar.. Please investigate and resolve urgently. Contact the relevant team if needed.","Discrepancy between customer portal and TOS for container EMCU3381866 on voyage HB54. Portal shows 'Loaded @ BP03' while TOS indicates 'In Yard - Block C4'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-U8IOGXPB and seal S4232-QPA included (randomized placeholders). Yard crane YC22 handled the last move at PSA Tanjong Pagar.",Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.,
Container Report,Call,Yes,6/16/2025 2:51,Call ALR-145767 | Container NYKU9415355 exception reported at PSA Tanjong Pagar | Issue: Duplicate EDIFACT CODECO received with conflicting eventTime for NYKU9415355. Later message had older timestamp; last-writer-wins regressed status.. Please investigate and resolve urgently. Contact the relevant team if needed.,Duplicate EDIFACT CODECO received with conflicting eventTime for NYKU9415355. Later message had older timestamp; last-writer-wins regressed status.,Escalate to Container Product Team,
Vessel,SMS,Yes,6/22/2025 21:59,"Alert: SMS TCK-781233 | Issue: ANSI X12 301 inconsistency for MV SILVER CURRENT/105N: COARRI shows discharge completed for bay 22, . Please check immediately.","ANSI X12 301 inconsistency for MV SILVER CURRENT/105N: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable.,VSL: BAPLIE inconsistency for VESSEL_ID: COARRI shows discharge completed for bay BAY_NUMBER 
Container Booking,SMS,No,2/26/2025 23:28,Alert: SMS INC-901280 | Issue: Discrepancy between customer portal and TOS for container ONEU4133958 on voyage VA61. Portal shows '. Please check immediately.,"Discrepancy between customer portal and TOS for container ONEU4133958 on voyage VA61. Portal shows 'Loaded @ BP02' while TOS indicates 'In Yard - Block A1'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-PPVOHSMD and seal S8972-SLH included (randomized placeholders). Yard crane QC18 handled the last move at PSA Tanjong Pagar.",Ran cross-system compare and forced cache invalidation. Re-ordered events by eventTime; replayed 'Yard Move Completed'. Corrected size/type to manifest truth and locked the attribute for 6 hours. Published reconciliation summary with sanitized diffs.,CNTR: Discrepancy between customer portal and TOS for container CONTAINER_ID on voyage VA61 
EDI/API,Call,Yes,1/7/2025 14:20,"Call INC-200650 | EDI/API Data Mismatch on CMAU6823528 at Tuas Port | Issue: Field mapping mismatch across systems for container CMAU6823528. Partner Partner-C posted EDIFACT COARRI with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at Tuas Port. Booking BK-HWUOIL2R shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","Field mapping mismatch across systems for container CMAU6823528. Partner Partner-C posted EDIFACT COARRI with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at Tuas Port. Booking BK-HWUOIL2R shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. All numeric identifiers are randomized placeholders; no credentials stored.",Escalate to EDIAPI Product Team,
Vessel,Call,Yes,6/19/2025 17:29,"Call INC-832948 | Vessel MV CORAL WAVE/19E exception at Tuas Port | Issue: BAPLIE inconsistency for MV CORAL WAVE/19E: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","BAPLIE inconsistency for MV CORAL WAVE/19E: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Escalate to Vessel Product Team,
EDI/API,SMS,Yes,3/30/2025 17:32,Alert: SMS INC-426173 | Issue: Unexpected qualifier 'ACD' in EQD segment from Partner-E; schema validation failed; containers in th. Please check immediately.,Unexpected qualifier 'ACD' in EQD segment from Partner-E; schema validation failed; containers in the message not reflected on the portal timeline. Context tokens: EDI. All numeric identifiers are randomized placeholders; no credentials stored.,Enabled conflict resolution preferring max(eventTime); patched translator for partner-specific tolerance; reprocessed from quarantine; verified pipeline end-to-end. Communications used masked ticket references where applicable.,
IMPORT/EXPORT,Email,No,9/9/2025 1:04,"Subject: RE: Alert Alert37434072 assigned to your group : [MT_PPT] pc.ERROR.EVENT.NullPointerException

Dear Team,

[MT_PPT] pc. [] NullPointerException: null (RQID:a4123f-0be-5689-1e42-2b509) Root cause:
java.lang.NullPointerException
at com.MtTopUpBackend.constructAndPublishMessage(MtTopUpBackend.java:634)
at com.MtTopUpBackend.startProcess(MtTopUpBackend.java:276)
at com.MtTopUpBackendApplication.run(MtTopUpBackendApplication.java:34)


Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","[MT_PPT] pc. [] NullPointerException: null (RQID:a41f-0be-5689-1e42-2b509) Root cause:
java.lang.NullPointerException
at com.MtTopUpBackend.constructAndPublishMessage(MtTopUpBackend.java:64)
at com.MtTopUpBackend.startProcess(MtTopUpBackend.java:276)
at com.MtTopUpBackendApplication.run(MtTopUpBackendApplication.java:34)
","The exception is due to call yardSettings failed at 1:00 run.
The following run successfully.
",
EDI/API,Email,Yes,7/11/2025 23:53,"Subject: Email ALR-492158 | EDI/API Data Mismatch on HLCU9973923 at PSA Tanjong Pagar

Dear Team,

Shipper/consignee role swap observed on API payload for HLCU9973923. Upstream denormalization reversed NAD qualifiers; billing prep failed validation. Partner: Partner-E; affected terminal: PSA Tanjong Pagar. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Shipper/consignee role swap observed on API payload for HLCU9973923. Upstream denormalization reversed NAD qualifiers; billing prep failed validation. Partner: Partner-E; affected terminal: PSA Tanjong Pagar. All numeric identifiers are randomized placeholders; no credentials stored.,Patched mapper to respect NAD roles; added tests for role inversion; flushed CDN. Sent sanitized incident summary to stakeholders; identifiers masked. Communications used masked ticket references where applicable.,
Container Report,Call,Yes,5/27/2025 6:32,"Call INC-373453 | Container NYKU6166443 exception reported at PSA Tanjong Pagar | Issue: Translator rejected EDIFACT IFTSTA for NYKU6166443: segment count mismatch, sequence skipped 018â†’019â†’021. Missing public milestone though warehouse shows correct move.. Please investigate and resolve urgently. Contact the relevant team if needed.","Translator rejected EDIFACT IFTSTA for NYKU6166443: segment count mismatch, sequence skipped 018?019?021. Missing public milestone though warehouse shows correct move.",Enabled conflict resolution preferring max(eventTime); replayed from quarantine; validated against TOS/warehouse scans; added anomaly detection for >30m skews.,
Container Booking,SMS,No,9/3/2025 8:34,Alert: SMS INC-789545 | Issue: Mismatched shipment party codes for EMCU9278087. Shipper/consignee swapped after a backfill job. Cus. Please check immediately.,Mismatched shipment party codes for EMCU9278087. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Pasir Panjang Terminal 2; booking BK-XZ2C9ROS.,Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage ZX77); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders.,CNTR: Mismatched shipment party codes for CONTAINER_ID 
Container Booking,Call,No,2/13/2025 9:03,Call INC-651033 | Container CMAU9370660 exception reported at Tuas Port | Issue: Mismatched shipment party codes for CMAU9370660. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Pasir Panjang Terminal 2; booking BK-YW7NH8RQ.. Please investigate and resolve urgently. Contact the relevant team if needed.,Mismatched shipment party codes for CMAU9370660. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Pasir Panjang Terminal 2; booking BK-YW7NH8RQ.,Ran cross-system compare and forced cache invalidation. Re-ordered events by eventTime; replayed 'Yard Move Completed'. Corrected size/type to manifest truth and locked the attribute for 6 hours. Published reconciliation summary with sanitized diffs.,CNTR: Mismatched shipment party codes for CONTAINER_ID 
EDI/API,Call,Yes,7/4/2025 13:02,"Call ALR-295916 | EDI/API Data Mismatch on ONEU6487844 at Tuas Port | Issue: Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-B, while TOS computed local UTC+8. Container ONEU6487844 milestones appeared out-of-order on the portal; ANSI X12 301 'Gate Out' overshadowed later 'Loaded' event. Booking BK-SQ59ACG1 not impacted operationally but customer view inconsistent. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-B, while TOS computed local UTC+8. Container ONEU6487844 milestones appeared out-of-order on the portal; ANSI X12 301 'Gate Out' overshadowed later 'Loaded' event. Booking BK-SQ59ACG1 not impacted operationally but customer view inconsistent. All numeric identifiers are randomized placeholders; no credentials stored.","Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-B, while TOS computed local UTC+8. Container ONEU6487844 milestones appeared out-of-order on the portal; ANSI X12 301 'Gate Out' overshadowed later 'Loaded' event. Booking BK-SQ59ACG1 not impacted operationally but customer view inconsistent. All numeric identifiers are randomized placeholders; no credentials stored.', the resolution involves optimizing the system parameters and adjusting configurations to resolve the conflict.",
Vessel,Call,No,4/24/2025 22:27,"Call ALR-775784 | Vessel MV EASTERN STAR/7A exception at Tuas Port | Issue: The system failed to adjust for weather-related delays for MV EASTERN STAR/7A, causing a missed ETB TU13 slot and crane sequencing issues at Tuas Port.","The weather delay was not accounted for in the scheduling system, leading to discrepancies in the vessel’s ETA and missed berth slots.","A weather diversion protocol was triggered in the system, and the system was updated to allow for automatic adjustment of ETAs based on weather data. Manual intervention was also used to reassign berth slots and cranes.",VSL: Pilotage delay due to weather; VESSEL_ID missed ETB LOCATION slot 
Vessel,Call,Yes,9/1/2025 22:56,"Call INC-800273 | Vessel MV SILVER CURRENT/211S exception at PSA Keppel | Issue: ETA/ETB mismatch for MV SILVER CURRENT (IMO 3398789, CS-JEQ0D) on voyage 211S. Berth plan shows ETB at BP03 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Keppel reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","ETA/ETB mismatch for MV SILVER CURRENT (IMO 3398789, CS-JEQ0D) on voyage 211S. Berth plan shows ETB at BP03 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Keppel reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Escalate to Vessel Product Team,
Container Booking,Call,No,1/31/2025 1:04,"Call TCK-543814 | Container MSCU8894333 exception reported at Tuas Port | Issue: Discrepancy between customer portal and TOS for container MSCU8894333 on voyage QS19. Portal shows 'Loaded @ TU11' while TOS indicates 'In Yard - Block A1'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-4X2EK3ZE and seal S8685-QAC included (randomized placeholders). Yard crane QC11 handled the last move at PSA Keppel.. Please investigate and resolve urgently. Contact the relevant team if needed.","Discrepancy between customer portal and TOS for container MSCU8894333 on voyage QS19. Portal shows 'Loaded @ TU11' while TOS indicates 'In Yard - Block A1'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-4X2EK3ZE and seal S8685-QAC included (randomized placeholders). Yard crane QC11 handled the last move at PSA Keppel.",Ran cross-system compare and forced cache invalidation. Re-ordered events by eventTime; replayed 'Yard Move Completed'. Corrected size/type to manifest truth and locked the attribute for 6 hours. Published reconciliation summary with sanitized diffs.,CNTR: Discrepancy between customer portal and TOS for container CONTAINER_ID on voyage V001 
EDI/API,Email,Yes,7/11/2025 11:41,"Subject: Email INC-152667 | API Failure on /manifest/validate impacting partner traffic

Dear Team,

Intermittent 408 on '/manifest/validate' during webhook deliveries to Partner-B. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Pasir Panjang Terminal 2 ops unaffected but visibility degraded. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Intermittent 408 on '/manifest/validate' during webhook deliveries to Partner-B. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Pasir Panjang Terminal 2 ops unaffected but visibility degraded. All numeric identifiers are randomized placeholders; no credentials stored.,"Intermittent 408 on '/manifest/validate' during webhook deliveries to Partner-B. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Pasir Panjang Terminal 2 ops unaffected but visibility degraded. All numeric identifiers are randomized placeholders; no credentials stored.', the resolution involves optimizing the system parameters and adjusting configurations to resolve the conflict.",
